@relation InstanceResultListener

@attribute Key_Dataset {train-weka.filters.unsupervised.attribute.Remove-R1}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.GaussianProcesses}
@attribute Key_Scheme_options {'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"','-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.NormalizedPolyKernel -C 250007 -E 2.0\"','-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"'}
@attribute Key_Scheme_version_ID {-8620066949967678545}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureKernelEvaluations numeric
@attribute measureCacheHits numeric

@data
train-weka.filters.unsupervised.attribute.Remove-R1,2,2,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0533,1579,163,107.368015,182.856138,54.786083,63.321225,0.826186,1135.690071,3275.60192,-2139.911849,6.967424,20.095717,-13.128294,5.848,0.416,5.532034,0.415711,36425832,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,2,3,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0533,1579,157,113.725105,196.058195,49.390541,59.006663,0.869517,1118.797082,3228.214563,-2109.417481,7.126096,20.561876,-13.43578,5.976,0.411,5.594464,0.410753,36580104,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,2,4,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0533,1579,159,119.859178,207.204682,52.684204,61.451303,0.842557,1119.822046,2199.867172,-1080.045126,7.042906,13.835643,-6.792737,5.815,0.421,5.595851,0.421211,36528616,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,2,5,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0533,1579,160,122.776392,286.12271,51.35585,73.513126,0.701523,1155.448399,4324.514588,-3169.066189,7.221552,27.028216,-19.806664,5.902,0.428,5.58186,0.427512,36502896,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,2,6,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0533,1580,158,98.789193,228.737471,51.465136,76.58591,0.664423,1079.549651,4302.087274,-3222.537622,6.832593,27.2284,-20.395808,5.959,0.411,5.568641,0.410315,36554352,4348974,509109,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,2,7,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0534,1580,163,111.192755,199.664597,53.646288,65.75742,0.813463,1134.412944,4341.144786,-3206.731842,6.959589,26.63279,-19.673201,5.756,0.42,5.538223,0.419467,36425832,4348974,509109,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,2,8,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0534,1580,160,106.516577,234.081703,52.482499,78.02835,0.636879,1102.607953,4329.521833,-3226.91388,6.8913,27.059511,-20.168212,5.911,0.416,5.590795,0.415726,36502896,4348974,509109,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,2,9,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0534,1580,158,119.688785,265.160459,58.100238,79.231438,0.64996,1111.969276,4365.118179,-3253.148903,7.03778,27.62733,-20.58955,5.946,0.41,5.563906,0.409553,36554352,4348974,509109,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,2,10,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0534,1580,151,87.412992,120.144793,49.470811,56.57218,0.849211,1013.831723,2726.99408,-1713.162357,6.714117,18.059563,-11.345446,5.88,0.419,5.662847,0.418769,36734952,4348974,509109,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,3,1,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0534,1579,167,82.186534,126.235726,45.763462,54.277064,0.871859,1142.664426,3227.718809,-2085.054383,6.842302,19.327658,-12.485356,5.83,0.421,5.507463,0.420654,36323304,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,3,2,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0534,1579,157,105.614467,187.996564,51.946786,65.214814,0.804831,1092.307133,3242.108333,-2149.8012,6.95737,20.650372,-13.693001,5.97,0.41,5.591156,0.409807,36580104,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,3,3,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0534,1579,156,78.187728,106.070978,47.860393,54.425132,0.858059,1038.843245,2184.097644,-1145.254399,6.659252,14.000626,-7.341374,5.836,0.422,5.619021,0.421079,36605872,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,3,4,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0534,1579,158,95.15182,193.097667,48.415573,64.814347,0.792245,1080.970963,4305.495236,-3224.524272,6.841588,27.24997,-20.408381,5.917,0.417,5.596587,0.416345,36554352,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,3,5,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0534,1579,160,114.794728,182.036318,50.482206,57.284867,0.854629,1128.737411,2427.360481,-1298.623069,7.054609,15.171003,-8.116394,5.946,0.411,5.566907,0.4114,36502896,4346241,511842,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,3,6,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0535,1580,159,135.803477,283.698302,57.122116,75.797011,0.699508,1141.389649,3364.782714,-2223.393065,7.178551,21.162155,-13.983604,5.806,0.421,5.593069,0.420759,36528616,4348974,509109,?,?,?
train-weka.filters.unsupervised.attribute.Remove-R1,3,7,weka.classifiers.functions.GaussianProcesses,'-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 1.0\"',-8620066949967678545,20120610.0535,1580,161,112.685219,190.499186,56.134745,65.747764,0.803143,1115.34398,3281.189012,-2165.845032,6.927602,20.380056,-13.452454,5.866,0.424,5.546163,0.418144,36477192,4348974,509109,?,?,?
